channelId,title,channelTitle,publishedAt
"UC8h30UMUb7emuKob0OV_6zg","Tik Tok Thời Trang Con Nhà Nghèo Sáng Tạo Cực Chất P52 - Fashion for Poor People P52 - Tik Tok China","Mina Tik Tok","2021-07-13T00:00:05Z"
"UCE8bELwgAQMo5caLbV0_M6g","Woh Tera Kehna Ki Main | Dhadkan | LoveStory | KADAK MASALA","Kadak Masala","2021-07-13T14:15:00Z"
"UCUnVodBnteAdGONNcUpS_kw","Il ritorno degli Azzurri a Roma dopo la vittoria dell’Europeo | EURO 2020","FIGC Vivo Azzurro - Nazionale Italiana Calcio","2021-07-12T09:57:12Z"
"UCMzrwuE3rclpD7kVNxuPKtw","Akhirnya saya kena Covid Varian DELTA (Maaf saya Off dulu dari Youtube)","SuccessBefore30","2021-07-07T11:16:38Z"
"UC4i_9WvfPRTuRWEaWyfKuFw","This guy is a dirtbag! Dustin Poirier on Conor McGregor after heated UFC 264 main event.","BT Sport","2021-07-11T04:43:13Z"
"UCER4rvDnRBPr_ncYW4UCZjg","Warga Resah Dengan Suara Sirine, Mobil Ambulans Masuk Kampung Keputih Diminta Matikan Sirine","tvOneNews","2021-07-15T13:02:38Z"
"UCX6OQ3DkcsbYNE6H8uQQuVA","Would YOU Quit School For $100,000?","MrBeast","2021-07-10T20:00:09Z"
"UCJpdpj9hNhaYBRGusGv7CjQ","Viral Warga Geruduk RSUD Situbondo Tuduh Covidkan Korban Kecelakaan","Tribun Jateng","2021-07-15T06:18:30Z"
"UCsObGXVUdSh-bHT7CdVXrrw","Lionel Messi Against All Odds - Argentina","MagicalMessi","2021-07-13T06:56:12Z"
"UCqPbkJrjrsQb_RGlC_4HEgg","The Kid LAROI, Justin Bieber - Stay (Official Video)","TheKidLAROIVEVO","2021-07-09T04:00:12Z"
"UCmxAIW7RDDC88EPk4ry16Kg","SOSOK Mayjen TNI Agus Subiyanto, Danpaspampres yang Bela Praka Izroi soal Cekcok di Pos Penyekatan","Tribunnews.com","2021-07-10T04:18:40Z"
"UCzTsWuCdVP_vehWyGwPcS3Q","IKATAN CINTA - Gak Punya Cara Lain!! Nino Diam-Diam Bawa Reyna Untuk Tes DNA","RCTI - LAYAR DRAMA INDONESIA","2021-07-13T17:26:48Z"
"UCyGa1YEx9ST66rYrJTGIKOw","Vote for your EURO 2020 Goal of the Tournament!!","UEFA","2021-07-13T13:18:33Z"
"UCZIEmkvbSV8wBVWnP4wgftA","KELAS METAFISIKA: MERUWAT DAN MENGHINDAR DARI TUMBAL","Kisah Tanah Jawa","2021-07-10T14:00:24Z"
"UCmiJjv8BbzLahKpsfkQaBnA","Arief feat Tryana - Cinta Sehebat Mentari (Official Music Video)","Arief Putra","2021-07-10T02:00:15Z"
"UCYk4LJI0Pr6RBDWowMm-KUw","SEBARKAN‼️ BIG DOC VS COVID‼️ SEBELUM DI TAKEDOWN‼️ dr. Henry Suhendra - Deddy Corbuzier Podcast","Deddy Corbuzier","2021-07-13T04:21:30Z"
"UCdOovgmIPfj9a-o3VP5i2_g","Aksi Sangar Paspampres Praka Izroy saat Tenteng Senjata, Sang Perisai Hidup Wapres","MerdekaDotCom","2021-07-12T02:00:13Z"
"UC_SBt2BFBkExq_azj-P5lNA","PENAMPAKAN MAKHLUK2 MITOLOGIS DI DUNIA NYATA! | #NERROR","Nessie Judge","2021-07-02T12:00:11Z"
"UCEHprhvK2xu0CYKcnbMshBw","ROMA ULANG TAHUN || KONTRAKAN REMPONG EPISODE 353","WARINTIL OFFICIAL","2021-07-10T03:00:14Z"
"UCNkWlcfB453o1sAWr3sFY7w","MCP SYSILIA - PASTI BALE (Official Music Video) Lagu Ambon Terbaru","MCP SYSILIA RAP MOLLUCAN LABRAK","2021-07-08T12:00:15Z"
"UClvgyQvIplPQU8N73vPlFUA","Legendary Reactions","AshStudio7","2021-07-14T09:52:45Z"
"UCKy1dAqELo0zrOtPkf0eTMw","Steam Deck: First Hands-On With Valve’s Handheld Gaming PC","IGN","2021-07-15T16:58:43Z"
"UCPgLNge0xqQHWM5B5EFH9Cg","England fans mourn Euro 2020 final heartbreak after penalty shoot-out","The Telegraph","2021-07-11T23:13:16Z"
"UC9LQwHZoucFT94I2h6JOcjw","Inside Training: Squad returns for first full pre-season session in Austria","Liverpool FC","2021-07-13T15:30:13Z"
"UCUhpu5MJQ_bjPkXO00jyxsw","Clip: Just A Sweet Morning Kiss! | Unforgettable Love EP09 | 贺先生的恋恋不忘 | iQiyi","iQIYI 爱奇艺","2021-07-13T14:00:18Z"
"UCKNZsAeQXpvI-Mpoc0ZKhsA","[4K] 왕소중하니까 왕크게 보는 💗왕크왕캠💗 NCT DREAM 나나💚 재민🐰 (Feat. 요정 런쥔🦊)","MBC Radio봉춘라디오","2021-07-12T09:00:01Z"
"UCEbRSmzD8xASRlYq2OLmCrg","지금 듣기 딱 좋은💞 온유(ONEW)x이수현(Lee Suhyun)의 〈깊은 밤을 날아서〉♬ 바라던 바다 (sea of hope) 2회 | JTBC 210706 방송","JTBC Music","2021-07-06T13:14:29Z"
"UCkrboHEREUVOaFNbuQ2taZg","말랑이 거래! 에어팟과 교환? #shorts popit DIY FIDGET TRADING Tiktok Compilation","프리티에스더 PrettyEsther","2021-07-12T08:32:03Z"
"UC8rHUssNDJ9YEjfduAqJBmw","BANGKRUT! MUKBANG NASI GORENG JUTAWAN TOPING STEAK SEGUNUNG","tanboy kun","2021-07-13T06:04:59Z"
"UCniqtXw3nZho_0HEO5IBqvg","Madison Beer - Reckless (Official Alternate Ending Video)","MadisonBeerMusicVEVO","2021-07-12T19:00:05Z"
"UCU_fuBEbZ0Wcf3ZNWEtxwzg","Nindi Dituding Jadi Perusak Rumah Tangga Olla Ramlan, Ini Faktanya Part 01- #HPS 08/07","Hotman Paris Show","2021-07-08T15:30:45Z"
"UC-inGkOwn_su3qh40RYC11A","Arief Muhammad Cari Kuli Bangunan Yang Dipecat Karena Tak Pakai Masker","TRIBUN LAMPUNG NEWS VIDEO","2021-07-12T04:21:07Z"
"UCVcdUPUEMqqRibLpx8HL3kw","DIHIPNOTIS ‼ AUREL : AKU MANUSIA BIASA , BISA MAAFIN TAPI GAK BISA LANJUTIN ‼","Uya Kuya TV","2021-07-16T12:00:13Z"
"UCvp0CPEB3M-iCkmT5RHYh7Q","BTS 'PERMISSION TO DANCE' MV REACTION","Alphiandi","2021-07-09T09:43:20Z"
"UCYk4LJI0Pr6RBDWowMm-KUw","PASTI MASUK PENJARA‼️Maafin laah.. - Deddy Corbuzier Podcast","Deddy Corbuzier","2021-07-15T04:20:00Z"
